StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Texas,TX,School,Yes,Texans Can Academy - Oak Cliff,Other/alternative school,480001607847,057804002,Texans Can Academies,Charter agency,4800016,57804,517,Bi-annually,9/1/20,12/31/20,Virtual,,,,,,,,42,0,475,,
Texas,TX,School,Yes,Texans Can Academy - Oak Cliff,Other/alternative school,480001607847,057804002,Texans Can Academies,Charter agency,4800016,57804,479,Bi-annually,1/1/21,6/1/21,Virtual,,,,,,,,2,0,477,,
Texas,TX,School,Yes,Texans Can Academy - Houston North,Other/alternative school,480001607910,057804009,Texans Can Academies,Charter agency,4800016,57804,399,Bi-annually,9/1/20,12/31/20,Virtual,,,,,,,,11,0,388,,
Texas,TX,School,Yes,Texans Can Academy - Houston North,Other/alternative school,480001607910,057804009,Texans Can Academies,Charter agency,4800016,57804,369,Bi-annually,1/1/21,6/1/21,Virtual,,,,,,,,0,0,369,,
Texas,TX,School,Yes,Texans Can Academy - San Antonio,Other/alternative school,480001608434,057804011,Texans Can Academies,Charter agency,4800016,57804,291,Bi-annually,9/1/20,12/31/20,Virtual,,,,,,,,5,0,286,,
Texas,TX,School,Yes,Texans Can Academy - San Antonio,Other/alternative school,480001608434,057804011,Texans Can Academies,Charter agency,4800016,57804,290,Bi-annually,1/1/21,6/1/21,Virtual,,,,,,,,0,0,290,,
Texas,TX,School,Yes,Texans Can Academy - Fort Worth Westcreek,Other/alternative school,480001608908,057804007,Texans Can Academies,Charter agency,4800016,57804,332,Bi-annually,9/1/20,12/31/20,Virtual,,,,,,,,15,0,317,,
Texas,TX,School,Yes,Texans Can Academy - Fort Worth Westcreek,Other/alternative school,480001608908,057804007,Texans Can Academies,Charter agency,4800016,57804,294,Bi-annually,1/1/21,6/1/21,Virtual,,,,,,,,0,0,294,,
Texas,TX,School,Yes,Texans Can Academy - Fort Worth Lancaster Avenue,Other/alternative school,480001609028,057804008,Texans Can Academies,Charter agency,4800016,57804,344,Bi-annually,9/1/20,12/31/20,Virtual,,,,,,,,0,0,344,,
Texas,TX,School,Yes,Texans Can Academy - Fort Worth Lancaster Avenue,Other/alternative school,480001609028,057804008,Texans Can Academies,Charter agency,4800016,57804,312,Bi-annually,1/1/21,6/1/21,Virtual,,,,,,,,0,0,312,,
