,schoolcode,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
160,69902001,2018,0.0,0,0.0,0.0,0.0,72,61.1111,50.0,0.0,48.6111,0.0
161,70901001,2018,0.0,0,0.0,0.0,0.0,107,52.3364,57.9439,4.6729,35.514,0.0
162,70910001,2018,0.0,0,0.0,0.0,0.0,335,48.0597,54.6269,1.194,41.194,0.2985
163,71801003,2018,0.0,0,0.0,0.0,0.0,118,41.5254,11.0169,2.5424,82.2034,2.5424
164,71806001,2018,0.0,0,0.0,0.0,0.0,348,76.7241,9.1954,0.5747,88.5057,1.1494
165,71806002,2018,0.0,0,0.0,0.0,0.0,206,66.0194,12.6214,3.8835,80.5825,0.4854
166,71902011,2018,0.0,0,0.0,0.0,0.0,742,54.8518,4.8518,2.0216,89.0836,3.504
167,71902015,2018,0.0,0,0.0,0.0,0.0,463,58.9633,13.8229,4.3197,77.1058,2.3758
168,71902027,2018,0.0,0,0.0,0.0,0.0,55,85.4545,5.4545,1.8182,90.9091,0.0
169,71905014,2018,0.0,0,0.0,0.0,0.0,301,86.0465,2.99,3.3223,93.6877,0.0
170,71905017,2018,0.0,0,0.0,0.0,0.0,390,67.4359,5.1282,0.0,93.8462,1.0256
171,71907003,2018,0.0,0,0.0,0.0,0.0,365,53.4247,9.0411,3.2877,85.2055,0.8219
172,71909003,2018,0.0,0,0.0,0.0,0.0,277,82.6715,1.444,2.5271,94.2238,0.0
173,71909007,2018,0.0,0,0.0,0.0,0.0,484,72.314,1.4463,1.4463,95.0413,1.6529
174,72801001,2018,0.0,0,0.0,0.0,0.0,141,87.234,65.9574,4.2553,26.2411,0.0
175,72801104,2018,0.0,0,0.0,0.0,0.0,180,87.2222,2.7778,1.1111,95.5556,0.0
176,72801107,2018,0.0,0,0.0,0.0,0.0,137,55.4745,5.8394,0.7299,93.4307,0.0
177,72801109,2018,0.0,0,0.0,0.0,0.0,224,75.0,1.3393,0.4464,98.2143,0.0
178,72801115,2018,0.0,0,0.0,0.0,0.0,260,95.3846,1.9231,0.0,98.0769,0.0
179,72801116,2018,0.0,0,0.0,0.0,0.0,184,100.0,2.7174,0.0,97.2826,0.0
180,72801128,2018,0.0,0,0.0,0.0,0.0,161,44.0994,37.8882,13.0435,41.6149,2.4845
181,72801129,2018,0.0,0,0.0,0.0,0.0,200,56.5,9.0,0.0,90.0,0.0
182,72801136,2018,0.0,0,0.0,0.0,0.0,142,56.338,54.9296,0.7042,40.8451,0.0
183,72801137,2018,0.0,0,0.0,0.0,0.0,187,45.9893,82.8877,0.5348,13.369,0.0
184,72801138,2018,0.0,0,0.0,0.0,0.0,144,52.7778,70.8333,2.0833,24.3056,0.0
185,72801146,2018,0.0,0,0.0,0.0,0.0,262,89.6947,3.4351,0.3817,96.1832,0.0
186,72801148,2018,0.0,0,0.0,0.0,0.0,121,56.1983,62.8099,23.9669,4.9587,0.0
187,72901101,2018,0.0,0,0.0,0.0,0.0,8,75.0,50.0,0.0,50.0,0.0
188,72908001,2018,0.0,0,0.0,0.0,0.0,65,18.4615,78.4615,0.0,16.9231,0.0
189,72909001,2018,0.0,0,0.0,0.0,0.0,77,46.7532,53.2468,0.0,45.4545,0.0
190,74904001,2018,0.0,0,0.0,0.0,0.0,95,46.3158,91.5789,0.0,4.2105,0.0
191,74907001,2018,0.0,0,0.0,0.0,0.0,218,54.1284,68.3486,10.0917,15.5963,0.0
192,74911001,2018,0.0,0,0.0,0.0,0.0,101,34.6535,83.1683,1.9802,5.9406,1.9802
193,74917001,2018,0.0,0,0.0,0.0,0.0,137,36.4964,83.2117,2.9197,10.9489,0.0
194,75901001,2018,0.0,0,0.0,0.0,0.0,151,61.5894,36.4238,2.649,58.2781,0.0
195,75906001,2018,0.0,0,0.0,0.0,0.0,92,23.913,82.6087,2.1739,15.2174,0.0
196,75908001,2018,0.0,0,0.0,0.0,0.0,76,30.2632,81.5789,1.3158,11.8421,0.0
197,76903001,2018,0.0,0,0.0,0.0,0.0,91,51.6484,68.1319,2.1978,29.6703,0.0
198,78901001,2018,0.0,0,0.0,0.0,0.0,69,65.2174,56.5217,4.3478,37.6812,1.4493
199,79901004,2018,0.0,0,0.0,0.0,0.0,148,62.1622,22.2973,26.3514,47.973,1.3514
200,79901008,2018,0.0,0,0.0,0.0,0.0,9,88.8889,0.0,33.3333,66.6667,0.0
201,79907010,2018,0.0,0,0.0,0.0,0.0,48,75.0,10.4167,66.6667,16.6667,2.0833
202,79907038,2018,0.0,0,0.0,0.0,0.0,376,69.1489,6.6489,52.1277,34.3085,4.7872
203,81905002,2018,0.0,0,0.0,0.0,0.0,160,50.0,75.625,9.375,13.125,1.25
204,83902001,2018,0.0,0,0.0,0.0,0.0,37,43.2432,40.5405,0.0,59.4595,0.0
205,83903002,2018,0.0,0,0.0,0.0,0.0,58,41.3793,43.1034,0.0,55.1724,0.0
206,84802001,2018,0.0,0,0.0,0.0,0.0,91,49.4505,40.6593,8.7912,47.2527,1.0989
207,84903001,2018,0.0,0,0.0,0.0,0.0,70,95.7143,84.2857,0.0,10.0,1.4286
208,84906014,2018,0.0,0,0.0,0.0,0.0,9,66.6667,11.1111,66.6667,22.2222,0.0
209,84910004,2018,0.0,0,0.0,0.0,0.0,279,31.8996,62.724,4.6595,25.8065,1.4337
210,84910008,2018,0.0,0,0.0,0.0,0.0,285,37.8947,42.4561,21.4035,29.4737,2.4561
211,84910010,2018,0.0,0,0.0,0.0,0.0,454,36.1233,33.2599,5.5066,25.5507,29.7357
212,86901002,2018,0.0,0,0.0,0.0,0.0,54,42.5926,46.2963,3.7037,46.2963,1.8519
213,86902001,2018,0.0,0,0.0,0.0,0.0,210,30.9524,83.3333,0.4762,13.8095,0.4762
214,87901001,2018,0.0,0,0.0,0.0,0.0,96,40.625,52.0833,0.0,47.9167,0.0
215,88902001,2018,0.0,0,0.0,0.0,0.0,435,41.8391,49.4253,5.0575,43.4483,0.0
216,89903001,2018,0.0,0,0.0,0.0,0.0,321,77.8816,22.1184,1.8692,75.7009,0.0
217,89903004,2018,0.0,0,0.0,0.0,0.0,5,80.0,0.0,0.0,100.0,0.0
218,90902001,2018,0.0,0,0.0,0.0,0.0,59,57.6271,77.9661,0.0,15.2542,1.6949
219,90903001,2018,0.0,0,0.0,0.0,0.0,70,40.0,78.5714,0.0,20.0,0.0
220,91901001,2018,0.0,0,0.0,0.0,0.0,268,28.3582,82.0896,0.3731,10.8209,0.0
221,91902001,2018,0.0,0,0.0,0.0,0.0,191,39.7906,78.534,0.5236,19.8953,0.0
222,91903002,2018,0.0,0,0.0,0.0,0.0,58,74.1379,63.7931,5.1724,20.6897,1.7241
223,91907101,2018,0.0,0,0.0,0.0,0.0,150,42.6667,72.0,0.0,20.6667,2.0
224,91918001,2018,0.0,0,0.0,0.0,0.0,222,40.0901,85.1351,1.3514,7.2072,0.4505
225,92907001,2018,0.0,0,0.0,0.0,0.0,560,32.1429,69.8214,10.7143,13.5714,1.6071
226,92908001,2018,0.0,0,0.0,0.0,0.0,424,33.0189,82.783,4.0094,7.3113,0.2358
227,93901001,2018,0.0,0,0.0,0.0,0.0,274,40.146,75.5474,9.4891,11.6788,0.0
228,93903001,2018,0.0,0,0.0,0.0,0.0,147,34.6939,80.2721,4.0816,15.6463,0.0
229,93904002,2018,0.0,0,0.0,0.0,0.0,820,74.878,25.122,23.4146,49.7561,0.3659
230,93905001,2018,0.0,0,0.0,0.0,0.0,63,53.9683,74.6032,12.6984,11.1111,0.0
231,94904001,2018,0.0,0,0.0,0.0,0.0,457,41.3567,58.4245,2.1882,36.7615,0.4376
232,94904003,2018,0.0,0,0.0,0.0,0.0,16,56.25,50.0,6.25,37.5,0.0
233,95902001,2018,0.0,0,0.0,0.0,0.0,41,48.7805,36.5854,0.0,63.4146,0.0
234,95904001,2018,0.0,0,0.0,0.0,0.0,71,71.831,23.9437,0.0,76.0563,0.0
235,96905001,2018,0.0,0,0.0,0.0,0.0,69,52.1739,60.8696,0.0,39.1304,0.0
236,98901001,2018,0.0,0,0.0,0.0,0.0,135,55.5556,45.1852,0.0,52.5926,0.7407
237,98904001,2018,0.0,0,0.0,0.0,0.0,278,56.8345,30.9353,0.0,67.9856,0.3597
238,100903003,2018,0.0,0,0.0,0.0,0.0,5,80.0,20.0,60.0,20.0,0.0
239,100904002,2018,0.0,0,0.0,0.0,0.0,4,50.0,25.0,50.0,25.0,0.0
240,100908001,2018,0.0,0,0.0,0.0,0.0,172,45.3488,95.9302,0.5814,1.1628,0.0
241,100908003,2018,0.0,0,0.0,0.0,0.0,2,100.0,100.0,0.0,0.0,0.0
242,101828001,2018,0.0,0,0.0,0.0,0.0,305,93.4426,0.9836,0.3279,98.0328,0.3279
243,101842001,2018,0.0,0,0.0,0.0,0.0,40,55.0,27.5,2.5,67.5,0.0
244,101858004,2018,0.0,0,0.0,0.0,0.0,618,60.6796,10.5178,16.8285,53.5599,17.7994
245,101858005,2018,0.0,0,0.0,0.0,0.0,298,59.396,17.1141,19.1275,45.302,16.7785
246,101862004,2018,0.0,0,0.0,0.0,0.0,162,50.6173,33.3333,23.4568,30.8642,5.5556
247,101862005,2018,0.0,0,0.0,0.0,0.0,243,40.3292,29.6296,27.1605,22.2222,17.6955
248,101902008,2018,0.0,0,0.0,0.0,0.0,414,92.9952,1.6908,13.7681,81.6425,2.657
249,101902098,2018,0.0,0,0.0,0.0,0.0,20,95.0,0.0,70.0,30.0,0.0
