,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian
160,8902001,2019,0.0,0.4962962962962963,0.0,0.0,0,270,0.5666666666666667,0.362962962962963,0.1,0.5,0.011111111111111112
161,8902001,2021,0.0,0.45454545454545453,0.0,0.0,0,231,0.5844155844155844,0.33766233766233766,0.11688311688311688,0.4935064935064935,0.012987012987012988
162,8903001,2015,0.0,0.5757575757575758,0.0,0.0,0,66,0.5454545454545454,0.3181818181818182,0.12121212121212122,0.5151515151515151,0.030303030303030304
163,8903001,2016,0.0,0.4107142857142857,0.0,0.0,0,56,0.5892857142857143,0.32142857142857145,0.05357142857142857,0.6071428571428571,0.0
164,8903001,2017,0.0,0.5679012345679012,0.0,0.0,0,81,0.6049382716049383,0.38271604938271603,0.09876543209876543,0.5061728395061729,0.012345679012345678
165,8903001,2018,0.0,0.3888888888888889,0.0,0.0,0,54,0.6111111111111112,0.4074074074074074,0.12962962962962962,0.46296296296296297,0.0
166,8903001,2019,0.0,0.5161290322580645,0.0,0.0,0,62,0.5,0.5161290322580645,0.08064516129032258,0.4032258064516129,0.0
167,8903001,2021,0.0,0.6417910447761194,0.0,0.0,0,67,0.5522388059701493,0.43283582089552236,0.04477611940298507,0.4626865671641791,0.0
168,9901001,2015,0.0,0.32222222222222224,0.0,0.0,0,90,0.8555555555555555,0.12222222222222222,0.0,0.8777777777777778,0.0
169,9901001,2016,0.0,0.31,0.0,0.0,0,100,0.8,0.13,0.0,0.87,0.0
170,9901001,2017,0.0,0.23770491803278687,0.0,0.0,0,122,0.860655737704918,0.09836065573770492,0.0,0.9016393442622951,0.0
171,9901001,2018,0.0,0.25925925925925924,0.0,0.0,0,108,0.7962962962962963,0.1111111111111111,0.0,0.8796296296296297,0.009259259259259259
172,9901001,2019,0.0,0.3942307692307692,0.0,0.0,0,104,0.8076923076923077,0.11538461538461539,0.009615384615384616,0.8461538461538461,0.009615384615384616
173,9901001,2021,0.0,0.45918367346938777,0.0,0.0,0,98,0.3673469387755102,0.15306122448979592,0.0,0.7959183673469388,0.01020408163265306
174,10901001,2015,0.0,0.6,0.0,0.0,0,20,0.4,0.95,0.0,0.05,0.0
175,10901001,2016,0.0,0.6785714285714286,0.0,0.0,0,28,0.5357142857142857,0.6428571428571429,0.0,0.35714285714285715,0.0
176,10901001,2017,0.0,0.43478260869565216,0.0,0.0,0,23,0.6086956521739131,0.7391304347826086,0.043478260869565216,0.13043478260869565,0.0
177,10901001,2018,0.0,0.5,0.0,0.0,0,24,0.7916666666666666,0.75,0.0,0.25,0.0
178,10901001,2019,0.0,0.4482758620689655,0.0,0.0,0,29,0.5172413793103449,0.8275862068965517,0.034482758620689655,0.13793103448275862,0.0
179,10901001,2021,0.0,0.5416666666666666,0.0,0.0,0,24,0.5416666666666666,0.6666666666666666,0.0,0.2916666666666667,0.0
180,10902001,2015,0.0,0.5795454545454546,0.0,0.0,0,176,0.48295454545454547,0.6647727272727273,0.011363636363636364,0.30113636363636365,0.005681818181818182
181,10902001,2016,0.0,0.5483870967741935,0.0,0.0,0,186,0.46774193548387094,0.6505376344086021,0.005376344086021506,0.3225806451612903,0.0
182,10902001,2017,0.0,0.45108695652173914,0.0,0.0,0,184,0.44565217391304346,0.5815217391304348,0.0,0.391304347826087,0.0
183,10902001,2018,0.0,0.3617021276595745,0.0,0.0,0,188,0.5319148936170213,0.5904255319148937,0.005319148936170213,0.3829787234042553,0.0
184,10902001,2019,0.0,0.5,0.0,0.0,0,216,0.5046296296296297,0.625,0.0,0.3611111111111111,0.004629629629629629
185,10902001,2021,0.0,0.4690721649484536,0.0,0.0,0,194,0.4536082474226804,0.5412371134020618,0.0,0.41237113402061853,0.0
186,11901001,2015,0.0,0.4157303370786517,0.0,0.0,0,356,0.5674157303370787,0.398876404494382,0.09831460674157304,0.4606741573033708,0.0
187,11901001,2016,0.0,0.4392764857881137,0.0,0.0,0,387,0.5426356589147286,0.3953488372093023,0.08527131782945736,0.4806201550387597,0.00516795865633075
188,11901001,2017,0.0,0.3148558758314856,0.0,0.0,0,451,0.6341463414634146,0.3392461197339246,0.08647450110864745,0.5299334811529933,0.0066518847006651885
189,11901001,2018,0.0,0.31610337972166996,0.0,0.0,0,503,0.68389662027833,0.30019880715705766,0.07157057654075547,0.588469184890656,0.005964214711729622
190,11901001,2019,0.0,0.371868978805395,0.0,0.0,0,519,0.6242774566473989,0.30057803468208094,0.055876685934489405,0.5915221579961464,0.0038535645472061657
191,11901001,2021,0.0,0.3475336322869955,0.0,0.0,0,446,0.6300448430493274,0.3071748878923767,0.04932735426008968,0.6076233183856502,0.004484304932735426
192,11901002,2015,0.0,0.3919239904988123,0.0,0.0,0,421,0.7244655581947743,0.21140142517814728,0.035629453681710214,0.7268408551068883,0.004750593824228029
193,11901002,2016,0.0,0.3316831683168317,0.0,0.0,0,404,0.7054455445544554,0.18564356435643564,0.04455445544554455,0.7376237623762376,0.0
194,11901002,2017,0.0,0.2643884892086331,0.0,0.0,0,556,0.6834532374100719,0.18345323741007194,0.025179856115107913,0.7661870503597122,0.0017985611510791368
