,schoolcode,charter,white,black,hispanic,lowincome,year,hybridper,virtualper,remote,totalenrolled,dropout
110,150162990250015,0,0.0,0.3364485981308411,0.6355140186915887,0.9065420560747663,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,317,11.1
111,150162990250015,0,0.0,0.4214876033057851,0.5619834710743802,0.9586776859504132,2019,0.0,0.0,0.0,342,20.1
112,150162990250016,0,0.0,0.963855421686747,0.0,0.8795180722891566,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,294,5.2
113,150162990250016,0,0.0,0.99009900990099,0.0,0.9108910891089108,2019,0.0,0.0,0.0,328,15.2
114,150162990250019,0,0.0,1.0,0.0,0.8888888888888888,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,84,13.1
115,150162990250019,0,0.0,0.9782608695652174,0.0,0.9347826086956522,2019,0.0,0.0,0.0,98,27.2
116,150162990250020,0,0.0,0.0564705882352941,0.9176470588235294,0.8847058823529412,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,1721,2.6
117,150162990250020,0,0.0249376558603491,0.0623441396508728,0.9027431421446384,0.9625935162094764,2019,0.0,0.0,0.0,1691,8.1
118,150162990250021,0,0.0,0.9940476190476192,0.0,0.9761904761904762,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,734,3.2
119,150162990250021,0,0.0,0.9754601226993864,0.0,0.9447852760736196,2019,0.0,0.0,0.0,776,8.3
120,150162990250022,0,0.0238663484486873,0.0334128878281622,0.766109785202864,0.9307875894988068,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,1769,5.0
121,150162990250022,0,0.0,0.0379746835443038,0.8080168776371308,0.930379746835443,2019,0.0,0.0,0.0,1895,11.7
122,150162990250023,0,0.0,0.0,0.873015873015873,0.9206349206349206,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,384,8.2
123,150162990250023,0,0.0,0.0,0.8695652173913043,0.9420289855072465,2019,0.0,0.0,0.0,405,13.8
124,150162990250024,0,0.1903323262839879,0.0,0.7613293051359517,0.6132930513595166,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,1467,4.6
125,150162990250024,0,0.1944444444444444,0.0303030303030303,0.7474747474747475,0.6313131313131313,2019,0.0,0.0,0.0,1588,7.8
126,150162990250025,0,0.0272277227722772,0.8861386138613861,0.047029702970297,0.5495049504950495,2021,0.3636363636363636,0.5454545454545454,0.8181818181818181,2116,0.9
127,150162990250025,0,0.04,0.8725,0.0325,0.56,2019,0.0,0.0,0.0,1860,2.3
128,150162990250026,0,0.1140065146579804,0.1368078175895765,0.6872964169381107,0.755700325732899,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,1352,1.3
129,150162990250026,0,0.1420289855072463,0.0753623188405797,0.7043478260869566,0.7333333333333333,2019,0.0,0.0,0.0,1383,4.5
130,150162990250027,0,0.3829990448901623,0.0859598853868194,0.3810888252148997,0.4269340974212034,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,4425,0.6
131,150162990250027,0,0.3858093126385809,0.0831485587583148,0.4079822616407982,0.4223946784922395,2019,0.0,0.0,0.0,4517,0.9
132,150162990250029,0,0.0,0.9714285714285714,0.0,0.9571428571428572,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,211,8.4
133,150162990250029,0,0.0,0.9487179487179488,0.0,0.9615384615384616,2019,0.0,0.0,0.0,251,17.0
134,150162990250030,0,0.1198979591836734,0.1556122448979592,0.4489795918367347,0.8290816326530612,2021,0.3636363636363636,0.5454545454545454,0.8181818181818181,1619,2.7
135,150162990250030,0,0.1722054380664652,0.1450151057401812,0.3595166163141994,0.8610271903323263,2019,0.0,0.0,0.0,1486,6.4
136,150162990250031,0,0.0,0.948051948051948,0.0,0.7229437229437229,2021,0.3636363636363636,0.5454545454545454,0.8181818181818181,1078,2.2
137,150162990250031,0,0.0,0.968421052631579,0.0,0.8315789473684211,2019,0.0,0.0,0.0,1225,6.7
138,150162990250034,0,0.0,0.9647058823529412,0.0,0.9294117647058824,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,590,7.3
139,150162990250034,0,0.0,0.9617224880382776,0.0,0.9330143540669856,2019,0.0,0.0,0.0,738,14.2
140,150162990250035,0,0.0469483568075117,0.1173708920187793,0.7511737089201878,0.8403755868544601,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,1013,3.8
141,150162990250035,0,0.0772727272727272,0.1227272727272727,0.6909090909090909,0.9454545454545454,2019,0.0,0.0,0.0,954,9.4
142,150162990250036,0,0.0557275541795665,0.0990712074303405,0.7987616099071208,0.8606811145510835,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,1510,3.4
143,150162990250036,0,0.0738636363636363,0.1136363636363636,0.78125,0.8664772727272727,2019,0.0,0.0,0.0,1607,8.1
144,150162990250037,0,0.1183431952662721,0.2692307692307692,0.408284023668639,0.7781065088757396,2021,0.3636363636363636,0.5454545454545454,0.8181818181818181,1546,2.8
145,150162990250037,0,0.1428571428571428,0.1994047619047619,0.4553571428571428,0.7857142857142857,2019,0.0,0.0,0.0,1414,5.8
146,150162990250039,0,0.0,0.9464285714285714,0.0,0.6696428571428571,2021,0.4545454545454545,0.4545454545454545,0.7727272727272727,462,1.4
147,150162990250039,0,0.0,0.970873786407767,0.0,0.7669902912621359,2019,0.0,0.0,0.0,514,3.6
148,150162990250041,0,0.0670731707317073,0.1798780487804878,0.6951219512195121,0.823170731707317,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,1151,4.1
149,150162990250041,0,0.1041009463722397,0.1261829652996845,0.7287066246056783,0.8138801261829653,2019,0.0,0.0,0.0,1227,9.4
150,150162990250042,0,0.0,0.4461538461538462,0.3846153846153846,0.8769230769230769,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,593,3.0
151,150162990250042,0,0.0718232044198895,0.425414364640884,0.2983425414364641,0.9116022099447514,2019,0.0,0.0,0.0,654,7.1
152,150162990250043,0,0.4482323232323232,0.0328282828282828,0.3939393939393939,0.5050505050505051,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,3949,1.9
153,150162990250043,0,0.526896551724138,0.0220689655172413,0.3489655172413793,0.4455172413793103,2019,0.0,0.0,0.0,3398,4.6
154,150162990250044,0,0.0,0.3777777777777777,0.5333333333333333,0.8888888888888888,2021,0.4545454545454545,0.4545454545454545,0.7727272727272727,203,10.3
155,150162990250044,0,0.0,0.547945205479452,0.3972602739726027,0.9315068493150684,2019,0.0,0.0,0.0,214,21.4
156,150162990250046,0,0.1683168316831683,0.0767326732673267,0.5668316831683168,0.6287128712871287,2021,0.3636363636363636,0.5454545454545454,0.8181818181818181,1674,0.4
157,150162990250046,0,0.171806167400881,0.0947136563876652,0.5550660792951542,0.6563876651982379,2019,0.0,0.0,0.0,1772,1.0
158,150162990250047,0,0.299412915851272,0.162426614481409,0.3542074363992172,0.4559686888454011,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,2117,1.7
159,150162990250047,0,0.2585858585858586,0.2,0.3616161616161616,0.5050505050505051,2019,0.0,0.0,0.0,2104,3.9
160,150162990250048,0,0.0419354838709677,0.032258064516129,0.9064516129032258,0.8516129032258064,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,1503,2.6
161,150162990250048,0,0.037037037037037,0.0401234567901234,0.8981481481481481,0.8395061728395061,2019,0.0,0.0,0.0,1435,5.5
162,150162990250049,0,0.0,0.5352112676056338,0.3943661971830985,0.7887323943661971,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,312,4.7
163,150162990250049,0,0.0,0.5454545454545454,0.375,0.9090909090909092,2019,0.0,0.0,0.0,358,8.4
164,150162990250052,0,0.0,0.8152173913043478,0.1521739130434782,0.8804347826086957,2021,0.3636363636363636,0.5454545454545454,0.8181818181818181,435,0.5
165,150162990250052,0,0.0,0.7217391304347827,0.2347826086956521,0.8869565217391304,2019,0.0,0.0,0.0,428,4.7
166,150162990250053,0,0.1696428571428571,0.2589285714285714,0.4821428571428571,0.6339285714285714,2021,0.3636363636363636,0.5454545454545454,0.8181818181818181,781,1.3
167,150162990250053,0,0.25,0.15,0.5416666666666666,0.5166666666666667,2019,0.0,0.0,0.0,711,2.2
168,15016299025010C,1,0.0,1.0,0.0,0.8837209302325582,2021,0.0,0.9090909090909092,1.0,215,2.9
169,15016299025010C,1,0.0,1.0,0.0,0.88,2019,0.0,0.0,0.0,258,2.0
