,schoolcode,district,county,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
132,132201040005,4,05,2018,0.0,80,0.0,0.0,0.0,74,45.9459,79.7297,1.3514,16.2162,0.0
133,140101060006,6,06,2018,0.0,96,0.0,0.0,0.0,96,37.5,96.875,0.0,1.0417,1.0417
134,140201060002,6,02,2018,0.0,91,0.0,0.0,0.0,193,36.2694,64.2487,19.6891,8.8083,5.1813
135,140203060004,6,04,2018,0.0,95,0.0,0.0,0.0,202,19.802,76.2376,6.4356,6.9307,4.4554
136,140203060010,6,10,2018,0.0,85,0.0,0.0,0.0,275,17.8182,77.0909,6.9091,6.1818,6.9091
137,140203060013,6,13,2018,0.0,98,0.0,0.0,0.0,150,21.3333,74.6667,2.0,4.6667,11.3333
138,140207060006,6,06,2018,0.0,75,0.0,0.0,0.0,213,65.2582,52.1127,32.8638,7.5117,5.1643
139,140301030005,3,05,2018,0.0,91,0.0,0.0,0.0,123,16.2602,95.935,0.813,2.439,0.0
140,140600010056,1,56,2018,0.0,83,0.0,0.0,0.0,109,54.1284,34.8624,42.2018,9.1743,11.0092
141,140600010097,1,97,2018,0.0,60,0.0,0.0,0.0,198,65.1515,20.7071,59.596,15.6566,1.0101
142,140600010098,1,98,2018,0.0,43,0.0,0.0,0.0,389,81.491,12.5964,56.8123,17.2237,9.7686
143,140600010101,1,01,2018,0.0,57,0.0,0.0,0.0,150,88.6667,4.0,78.6667,8.6667,8.0
144,140600010102,1,02,2018,0.0,90,0.0,0.0,0.0,197,34.0102,51.7766,25.3807,6.0914,13.7056
145,140600010104,1,04,2018,0.0,47,0.0,0.0,0.0,262,84.7328,18.7023,59.1603,19.4656,1.5267
146,140600010105,1,05,2018,0.0,77,0.0,0.0,0.0,398,69.8492,27.8894,38.6935,15.5779,14.8241
147,140600010110,1,10,2018,0.0,41,0.0,0.0,0.0,286,81.4685,33.5664,45.4545,15.035,3.1469
148,140600010128,1,28,2018,0.0,62,0.0,0.0,0.0,125,71.2,21.6,36.8,21.6,18.4
149,140600010132,1,32,2018,0.0,46,0.0,0.0,0.0,162,81.4815,4.9383,76.5432,12.3457,5.5556
150,140600010133,1,33,2018,0.0,25,0.0,0.0,0.0,48,81.25,4.1667,83.3333,10.4167,0.0
151,140600010135,1,35,2018,0.0,57,0.0,0.0,0.0,95,75.7895,10.5263,64.2105,20.0,1.0526
152,140600010308,1,08,2018,0.0,40,0.0,0.0,0.0,246,91.0569,10.9756,43.9024,21.5447,22.3577
157,140701060006,6,06,2018,0.0,72,0.0,0.0,0.0,220,67.2727,41.3636,39.0909,7.7273,7.7273
