,schoolcode,district,county,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
91,130801060007,6,07,2017,0.0,90.0,0.0,0.0,0.0,318,40.8805,69.1824,13.8365,12.8931,2.2013
92,131101040004,4,04,2017,0.0,82.0,0.0,0.0,0.0,63,52.381,74.6032,4.7619,20.6349,0.0
93,131201040002,4,02,2017,0.0,94.0,0.0,0.0,0.0,97,14.433,80.4124,1.0309,15.4639,3.0928
94,131701060002,6,02,2017,0.0,97.0,0.0,0.0,0.0,167,17.3653,87.4251,2.3952,7.7844,2.3952
95,132201040005,4,05,2017,0.0,95.0,0.0,0.0,0.0,77,27.2727,81.8182,2.5974,9.0909,1.2987
96,140201060002,6,02,2017,0.0,97.0,0.0,0.0,0.0,206,26.699,73.7864,11.165,3.8835,8.2524
97,140203060010,6,10,2017,0.0,96.0,0.0,0.0,0.0,311,11.5756,83.6013,2.5723,2.2508,8.0386
98,140207060006,6,06,2017,0.0,95.0,0.0,0.0,0.0,262,46.5649,68.3206,20.229,5.3435,4.9618
99,140301030005,3,05,2017,0.0,97.0,0.0,0.0,0.0,178,8.427,96.6292,1.1236,2.2472,0.0
100,140600010056,1,56,2017,0.0,92.0,0.0,0.0,0.0,109,49.5413,27.5229,48.6239,9.1743,11.9266
101,140600010097,1,97,2017,0.0,82.0,0.0,0.0,0.0,116,56.8966,20.6897,64.6552,11.2069,0.8621
102,140600010098,1,98,2017,0.0,74.0,0.0,0.0,0.0,258,79.845,8.9147,64.7287,15.1163,8.5271
103,140600010102,1,02,2017,0.0,96.0,0.0,0.0,0.0,138,36.9565,58.6957,15.942,7.2464,14.4928
104,140600010101,1,01,2017,0.0,53.0,0.0,0.0,0.0,143,74.8252,6.2937,73.4266,11.8881,6.993
105,140600010110,1,10,2017,0.0,62.0,0.0,0.0,0.0,225,76.0,40.4444,36.8889,16.8889,3.5556
106,140600010128,1,28,2017,0.0,89.0,0.0,0.0,0.0,109,54.1284,37.6147,38.5321,12.844,10.0917
107,140600010132,1,32,2017,0.0,52.0,0.0,0.0,0.0,156,73.0769,3.2051,81.4103,3.2051,10.2564
108,140600010104,1,04,2017,0.0,65.0,0.0,0.0,0.0,110,75.4545,20.0,63.6364,12.7273,0.0
109,140600010105,1,05,2017,0.0,93.0,0.0,0.0,0.0,270,62.963,27.4074,41.4815,14.4444,14.4444
110,140600010133,1,33,2017,0.0,49.0,0.0,0.0,0.0,58,82.7586,12.069,77.5862,6.8966,0.0
111,140600010135,1,35,2017,0.0,90.0,0.0,0.0,0.0,79,75.9494,5.0633,75.9494,16.4557,1.2658
112,140600010308,1,08,2017,0.0,68.0,0.0,0.0,0.0,181,83.4254,10.4972,38.674,17.6796,32.0442
115,140701060006,6,06,2017,0.0,87.0,0.0,0.0,0.0,170,60.0,48.8235,36.4706,5.2941,6.4706
116,140702030006,3,06,2017,0.0,91.0,0.0,0.0,0.0,149,47.651,81.2081,12.7517,2.0134,1.3423
117,140703020003,2,03,2017,0.0,89.0,0.0,0.0,0.0,83,62.6506,57.8313,30.1205,6.0241,2.4096
118,140707030003,3,03,2017,0.0,93.0,0.0,0.0,0.0,144,44.4444,93.0556,2.7778,2.0833,1.3889
119,140801060006,6,06,2017,0.0,97.0,0.0,0.0,0.0,369,10.2981,92.6829,0.813,2.168,2.981
120,141201060001,6,01,2017,0.0,97.0,0.0,0.0,0.0,113,23.8938,96.4602,0.885,1.7699,0.885
121,141501060004,6,04,2017,0.0,97.0,0.0,0.0,0.0,243,21.3992,89.3004,1.2346,4.1152,2.8807
122,141601060007,6,07,2017,0.0,95.0,0.0,0.0,0.0,281,21.7082,94.6619,0.0,2.4911,1.4235
123,141701040001,4,01,2017,0.0,94.0,0.0,0.0,0.0,77,25.974,98.7013,0.0,1.2987,0.0
124,141800010008,1,08,2017,0.0,67.0,0.0,0.0,0.0,144,84.0278,64.5833,19.4444,13.8889,1.3889
