,RCDTS,Charter,totaltested,elapass,white,black,hispanic,lowincome,year,closedper,hybridper,inpersonper,virtualper,remote
69,10860010260001,0,40.0,0.3,0.975,0.0,0.0,0.45,2019,0.0,0.0,1.0,0.0,0.0
70,10860010260001,0,47.0,0.341,1.0,0.0,0.0,0.2978723404255319,2018,0.0,0.0,1.0,0.0,0.0
71,10860010260001,0,48.0,0.28300000000000003,0.9791666666666666,0.0,0.0,0.3958333333333333,2017,0.0,0.0,1.0,0.0,0.0
72,10860020260001,0,18.0,0.0,0.8888888888888888,0.0,0.0,0.5555555555555556,2021,0.0909090909090909,0.3636363636363636,0.5454545454545454,0.0,0.2727272727272728
73,10860020260001,0,19.0,0.158,1.0,0.0,0.0,0.0,2019,0.0,0.0,1.0,0.0,0.0
74,10860020260001,0,12.0,0.0,1.0,0.0,0.0,0.0,2018,0.0,0.0,1.0,0.0,0.0
75,10860020260001,0,13.0,0.308,1.0,0.0,0.0,0.3846153846153846,2017,0.0,0.0,1.0,0.0,0.0
76,11012002C260001,0,69.0,0.348,0.9130434782608696,0.0,0.0,0.1739130434782608,2021,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
77,11012002C260001,0,95.0,0.358,0.968421052631579,0.0,0.0,0.2421052631578947,2019,0.0,0.0,1.0,0.0,0.0
78,11012002C260001,0,97.0,0.309,0.9587628865979382,0.0,0.0,0.2989690721649484,2018,0.0,0.0,1.0,0.0,0.0
79,11012002C260001,0,95.0,0.452,0.968421052631579,0.0,0.0,0.2526315789473684,2017,0.0,0.0,1.0,0.0,0.0
80,11012003C260001,0,19.0,0.158,0.8947368421052632,0.0,0.0,0.0,2021,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
81,11012003C260001,0,21.0,0.381,1.0,0.0,0.0,0.5238095238095238,2019,0.0,0.0,1.0,0.0,0.0
82,11012003C260001,0,28.0,0.17900000000000002,0.9642857142857144,0.0,0.0,0.6785714285714286,2018,0.0,0.0,1.0,0.0,0.0
83,11012003C260001,0,89.0,0.207,0.9550561797752808,0.0337078651685393,0.0112359550561797,0.5617977528089888,2017,0.0,0.0,1.0,0.0,0.0
84,11012004C260001,0,55.0,0.23600000000000002,0.9636363636363636,0.0,0.0,0.4,2021,0.0909090909090909,0.3636363636363636,0.5454545454545454,0.0,0.2727272727272728
85,11012004C260001,0,62.0,0.36,0.9838709677419356,0.0,0.0,0.4354838709677419,2019,0.0,0.0,1.0,0.0,0.0
86,11012004C260001,0,71.0,0.183,0.9154929577464788,0.0,0.0,0.5352112676056338,2018,0.0,0.0,1.0,0.0,0.0
87,11012004C260001,0,191.0,0.361,0.9528795811518324,0.0261780104712041,0.0052356020942408,0.3979057591623036,2017,0.0,0.0,1.0,0.0,0.0
88,110150010260001,0,207.0,0.24100000000000002,0.8985507246376812,0.0,0.0,0.3623188405797101,2021,0.0,0.4545454545454545,0.5454545454545454,0.0,0.2272727272727273
89,110150010260001,0,191.0,0.369,0.8900523560209425,0.0,0.0,0.3979057591623036,2019,0.0,0.0,1.0,0.0,0.0
90,110150010260001,0,180.0,0.43900000000000006,0.8666666666666667,0.0,0.0,0.3611111111111111,2018,0.0,0.0,1.0,0.0,0.0
91,110150010260001,0,190.0,0.418,0.9,0.0526315789473684,0.0157894736842105,0.3421052631578947,2017,0.0,0.0,1.0,0.0,0.0
92,110150020260001,0,183.0,0.218,0.8415300546448088,0.0,0.0,0.4918032786885246,2021,0.0909090909090909,0.3636363636363636,0.3636363636363636,0.1818181818181818,0.4545454545454546
93,110150020260001,0,236.0,0.316,0.8813559322033898,0.0,0.0508474576271186,0.4745762711864407,2019,0.0,0.0,1.0,0.0,0.0
94,110150020260001,0,248.0,0.311,0.9032258064516128,0.0,0.0403225806451612,0.407258064516129,2018,0.0,0.0,1.0,0.0,0.0
95,110150020260001,0,255.0,0.325,0.8745098039215686,0.0392156862745098,0.0431372549019607,0.5294117647058824,2017,0.0,0.0,1.0,0.0,0.0
