,schoolcode,district,county,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
111,121502040001,4,01,2019,0.0,100,0.0,0.0,0.0,12,41.6667,100.0,0.0,0.0,0.0
112,121601060006,6,06,2019,0.0,85,0.0,0.0,0.0,85,43.5294,87.0588,1.1765,5.8824,3.5294
113,121701040001,4,01,2019,0.0,89,0.0,0.0,0.0,19,63.1579,94.7368,0.0,0.0,5.2632
114,121702040001,4,01,2019,0.0,97,0.0,0.0,0.0,37,45.9459,86.4865,5.4054,2.7027,2.7027
115,121901040002,4,02,2019,0.0,83,0.0,0.0,0.0,72,40.2778,94.4444,0.0,5.5556,0.0
116,130200010005,1,05,2019,0.0,84,0.0,0.0,0.0,258,45.7364,39.9225,24.031,30.2326,1.1628
117,130502020003,2,03,2019,0.0,84,0.0,0.0,0.0,117,52.9915,68.3761,5.1282,23.0769,3.4188
118,130801060007,6,07,2019,0.0,87,0.0,0.0,0.0,285,49.1228,61.7544,17.5439,14.386,2.4561
119,131101040004,4,04,2019,0.0,77,0.0,0.0,0.0,57,52.6316,75.4386,1.7544,21.0526,1.7544
120,131201040002,4,02,2019,0.0,99,0.0,0.0,0.0,96,19.7917,82.2917,1.0417,9.375,3.125
121,131301040002,4,02,2019,0.0,95,0.0,0.0,0.0,81,28.3951,82.716,2.4691,11.1111,1.2346
122,131500010010,1,10,2019,0.0,68,0.0,0.0,0.0,350,71.1429,7.4286,56.8571,32.8571,1.1429
123,131601060008,6,08,2019,0.0,93,0.0,0.0,0.0,770,22.8571,71.4286,8.0519,14.2857,4.4156
124,131602020005,2,05,2019,0.0,98,0.0,0.0,0.0,104,29.8077,58.6538,10.5769,12.5,17.3077
125,131701060002,6,02,2019,0.0,93,0.0,0.0,0.0,163,33.7423,82.8221,2.454,11.0429,2.454
126,131801040001,4,01,2019,0.0,89,0.0,0.0,0.0,70,22.8571,88.5714,2.8571,7.1429,1.4286
127,132101060011,6,11,2019,0.0,93,0.0,0.0,0.0,468,30.9829,64.1026,8.7607,20.7265,5.5556
128,132101060015,6,15,2019,0.0,93,0.0,0.0,0.0,542,19.7417,76.9373,5.7196,12.1771,4.6125
129,132101060016,6,16,2019,0.0,70,0.0,0.0,0.0,27,55.5556,66.6667,11.1111,22.2222,0.0
130,132201040005,4,05,2019,0.0,96,0.0,0.0,0.0,72,27.7778,83.3333,2.7778,9.7222,2.7778
131,140101060006,6,06,2019,0.0,97,0.0,0.0,0.0,135,31.8519,95.5556,1.4815,0.7407,1.4815
132,140201060002,6,02,2019,0.0,96,0.0,0.0,0.0,220,37.7273,69.5455,15.9091,4.5455,6.8182
133,140203060010,6,10,2019,0.0,95,0.0,0.0,0.0,336,19.0476,77.9762,5.0595,2.0833,11.3095
134,140203060004,6,04,2019,0.0,94,0.0,0.0,0.0,236,17.3729,77.9661,6.7797,5.9322,6.7797
135,140203060013,6,13,2019,0.0,95,0.0,0.0,0.0,263,16.3498,72.2433,2.6616,2.6616,17.4905
136,140207060006,6,06,2019,0.0,90,0.0,0.0,0.0,288,51.7361,62.8472,21.1806,6.9444,5.2083
