,RCDTS,totalenrolled,white,black,hispanic,lowincome,dropout,year,charter,closedper,hybridper,inpersonper,virtualper,remote
110,110180770260001,278,0.978,0.0,0.0,0.35600000000000004,0.011000000000000001,2018,0,0.0,0.0,1.0,0.0,0.0
111,110180770260001,274,0.971,0.0,0.0,0.292,0.022000000000000002,2017,0,0.0,0.0,1.0,0.0,0.0
112,110213010260001,286,0.888,0.0,0.045,0.311,0.021,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
113,110213010260001,287,0.93,0.01,0.027999999999999997,0.33799999999999997,0.027000000000000003,2019,0,0.0,0.0,1.0,0.0,0.0
114,110213010260001,298,0.94,0.0,0.0,0.265,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
115,110213010260001,313,0.9359999999999999,0.01,0.026000000000000002,0.249,0.006,2017,0,0.0,0.0,1.0,0.0,0.0
116,110213020260001,190,0.958,0.0,0.0,0.358,0.04,2021,0,0.0909090909090909,0.4545454545454545,0.4545454545454545,0.0,0.3181818181818181
117,110213020260001,193,0.9840000000000001,0.0,0.005,0.34700000000000003,0.027999999999999997,2019,0,0.0,0.0,1.0,0.0,0.0
118,110213020260001,199,0.97,0.0,0.0,0.377,0.01,2018,0,0.0,0.0,1.0,0.0,0.0
119,110213020260001,194,0.9590000000000001,0.0,0.005,0.299,0.005,2017,0,0.0,0.0,1.0,0.0,0.0
120,110213050260001,308,0.932,0.0,0.032,0.425,0.036000000000000004,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
121,110213050260001,322,0.935,0.016,0.025,0.391,0.023,2019,0,0.0,0.0,1.0,0.0,0.0
122,110213050260001,310,0.948,0.0,0.0,0.413,0.006,2018,0,0.0,0.0,1.0,0.0,0.0
123,110213050260001,284,0.965,0.011000000000000001,0.004,0.359,0.004,2017,0,0.0,0.0,1.0,0.0,0.0
124,110213060260001,313,0.54,0.0,0.435,0.415,0.02,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
125,110213060260001,332,0.53,0.006,0.452,0.47,0.02,2019,0,0.0,0.0,1.0,0.0,0.0
126,110213060260001,340,0.547,0.0,0.441,0.485,0.013000000000000001,2018,0,0.0,0.0,1.0,0.0,0.0
127,110213060260001,346,0.569,0.003,0.419,0.373,0.005,2017,0,0.0,0.0,1.0,0.0,0.0
128,110230010260001,193,0.9329999999999999,0.0,0.0,0.523,0.01,2021,0,0.0909090909090909,0.5454545454545454,0.3636363636363636,0.0,0.3636363636363636
129,110230010260001,183,0.956,0.0,0.0,0.47,0.063,2019,0,0.0,0.0,1.0,0.0,0.0
130,110230010260001,193,0.917,0.0,0.0,0.47200000000000003,0.039,2018,0,0.0,0.0,1.0,0.0,0.0
131,110230010260001,199,0.93,0.01,0.005,0.462,0.026000000000000002,2017,0,0.0,0.0,1.0,0.0,0.0
132,110230030260001,79,0.975,0.0,0.0,0.595,0.086,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
133,110230030260001,102,0.99,0.0,0.01,0.48,0.076,2019,0,0.0,0.0,1.0,0.0,0.0
134,110230030260001,104,0.981,0.0,0.0,0.5579999999999999,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
135,110230030260001,106,0.991,0.0,0.009000000000000001,0.48100000000000004,0.0,2017,0,0.0,0.0,1.0,0.0,0.0
136,110230060260001,97,0.938,0.0,0.0,0.433,0.023,2021,0,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,0.1363636363636362
137,110230060260001,100,0.94,0.01,0.02,0.38,0.047,2019,0,0.0,0.0,1.0,0.0,0.0
138,110230060260001,96,0.9790000000000001,0.0,0.0,0.33299999999999996,0.01,2018,0,0.0,0.0,1.0,0.0,0.0
139,110230060260001,98,1.0,0.0,0.0,0.22399999999999998,0.0,2017,0,0.0,0.0,1.0,0.0,0.0
140,110238000800001,529,0.951,0.0,0.0,0.431,0.026000000000000002,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
141,110238000800001,559,0.95,0.0,0.009000000000000001,0.435,0.045,2019,0,0.0,0.0,1.0,0.0,0.0
142,110238000800001,580,0.9670000000000001,0.0,0.0,0.307,0.019,2018,0,0.0,0.0,1.0,0.0,0.0
143,110238000800001,616,0.972,0.0,0.011000000000000001,0.41700000000000004,0.008,2017,0,0.0,0.0,1.0,0.0,0.0
144,110703000260004,303,0.934,0.0,0.0,0.373,0.021,2021,0,0.0909090909090909,0.4545454545454545,0.4545454545454545,0.0,0.3181818181818181
145,110703000260004,304,0.941,0.006999999999999999,0.016,0.391,0.025,2019,0,0.0,0.0,1.0,0.0,0.0
146,110703000260004,328,0.948,0.0,0.0,0.402,0.003,2018,0,0.0,0.0,1.0,0.0,0.0
147,110703000260004,318,0.934,0.006,0.025,0.41200000000000003,0.006,2017,0,0.0,0.0,1.0,0.0,0.0
148,110703020260001,164,0.97,0.0,0.0,0.366,0.025,2021,0,0.0909090909090909,0.4545454545454545,0.4545454545454545,0.0,0.3181818181818181
149,110703020260001,157,0.9620000000000001,0.0,0.0,0.433,0.033,2019,0,0.0,0.0,1.0,0.0,0.0
150,110703020260001,169,0.9640000000000001,0.0,0.0,0.402,0.006,2018,0,0.0,0.0,1.0,0.0,0.0
151,110703020260001,163,0.975,0.0,0.0,0.368,0.006,2017,0,0.0,0.0,1.0,0.0,0.0
152,110870010260002,144,0.965,0.0,0.0,0.292,0.043,2021,0,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,0.1363636363636362
153,110870010260002,145,0.9790000000000001,0.0,0.0,0.4,0.055,2019,0,0.0,0.0,1.0,0.0,0.0
154,110870010260002,153,0.98,0.0,0.0,0.32,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
155,110870010260002,148,0.993,0.0,0.0,0.365,0.0,2017,0,0.0,0.0,1.0,0.0,0.0
156,11087003A260001,183,0.9890000000000001,0.0,0.0,0.667,0.028999999999999998,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
157,11087003A260001,211,0.995,0.0,0.005,0.64,0.025,2019,0,0.0,0.0,1.0,0.0,0.0
158,11087003A260001,205,0.995,0.0,0.0,0.62,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
159,11087003A260001,210,0.995,0.0,0.005,0.662,0.019,2017,0,0.0,0.0,1.0,0.0,0.0
160,110870040260001,348,0.9540000000000001,0.0,0.0,0.385,0.023,2021,0,0.0,0.0,1.0,0.0,0.0
161,110870040260001,312,0.9620000000000001,0.003,0.019,0.41700000000000004,0.032,2019,0,0.0,0.0,1.0,0.0,0.0
162,110870040260001,323,0.978,0.0,0.0,0.396,0.006,2018,0,0.0,0.0,1.0,0.0,0.0
163,110870040260001,323,0.981,0.0,0.006,0.331,0.012,2017,0,0.0,0.0,1.0,0.0,0.0
164,11087005A260001,122,0.992,0.0,0.0,0.303,0.016,2021,0,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,0.1363636363636362
165,11087005A260001,110,1.0,0.0,0.0,0.29100000000000004,0.052000000000000005,2019,0,0.0,0.0,1.0,0.0,0.0
166,11087005A260001,105,0.99,0.0,0.0,0.324,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
167,11087005A260001,105,0.981,0.0,0.0,0.33299999999999996,0.01,2017,0,0.0,0.0,1.0,0.0,0.0
168,110870210260001,216,0.958,0.0,0.0,0.375,0.043,2021,0,0.0909090909090909,0.3636363636363636,0.3636363636363636,0.1818181818181818,0.4545454545454546
169,110870210260001,223,0.937,0.036000000000000004,0.0,0.345,0.024,2019,0,0.0,0.0,1.0,0.0,0.0
170,110870210260001,218,0.9309999999999999,0.0,0.0,0.41700000000000004,0.018000000000000002,2018,0,0.0,0.0,1.0,0.0,0.0
171,110870210260001,246,0.9390000000000001,0.033,0.008,0.41100000000000003,0.184,2017,0,0.0,0.0,1.0,0.0,0.0
172,120130100260002,73,0.973,0.0,0.0,0.603,0.031,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
173,120130100260002,51,0.941,0.039,0.02,0.588,0.094,2019,0,0.0,0.0,1.0,0.0,0.0
174,120130100260002,57,0.93,0.0,0.0,0.456,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
175,120130100260002,50,0.96,0.0,0.04,0.4,0.02,2017,0,0.0,0.0,1.0,0.0,0.0
176,120130250260001,181,0.945,0.0,0.0,0.44799999999999995,0.047,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
177,120130250260001,191,0.9740000000000001,0.0,0.005,0.408,0.09300000000000001,2019,0,0.0,0.0,1.0,0.0,0.0
178,120130250260001,196,0.98,0.0,0.0,0.40299999999999997,0.036000000000000004,2018,0,0.0,0.0,1.0,0.0,0.0
179,120130250260001,198,0.985,0.005,0.005,0.434,0.005,2017,0,0.0,0.0,1.0,0.0,0.0
180,120130350260001,383,0.922,0.0,0.028999999999999998,0.504,0.038,2021,0,0.0909090909090909,0.0,0.8181818181818182,0.0909090909090909,0.1818181818181817
181,120130350260001,352,0.932,0.0,0.02,0.401,0.069,2019,0,0.0,0.0,1.0,0.0,0.0
182,120130350260001,358,0.9329999999999999,0.0,0.0,0.439,0.025,2018,0,0.0,0.0,1.0,0.0,0.0
183,120130350260001,372,0.9570000000000001,0.003,0.013000000000000001,0.519,0.032,2017,0,0.0,0.0,1.0,0.0,0.0
184,120170010260001,103,0.893,0.0,0.0,0.408,0.01,2021,0,0.0909090909090909,0.2727272727272727,0.6363636363636364,0.0,0.2272727272727273
185,120170010260001,108,0.917,0.0,0.019,0.47200000000000003,0.036000000000000004,2019,0,0.0,0.0,1.0,0.0,0.0
186,120170010260001,103,0.971,0.0,0.0,0.466,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
187,120170010260001,100,0.98,0.01,0.0,0.44,0.01,2017,0,0.0,0.0,1.0,0.0,0.0
188,120170020260001,493,0.907,0.02,0.03,0.396,0.037000000000000005,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
189,120170020260001,460,0.909,0.011000000000000001,0.037000000000000005,0.38299999999999995,0.023,2019,0,0.0,0.0,1.0,0.0,0.0
190,120170020260001,449,0.9109999999999999,0.0,0.033,0.38299999999999995,0.022000000000000002,2018,0,0.0,0.0,1.0,0.0,0.0
191,120170020260001,457,0.9209999999999999,0.006999999999999999,0.026000000000000002,0.389,0.015,2017,0,0.0,0.0,1.0,0.0,0.0
192,120170030260001,85,0.976,0.0,0.0,0.41200000000000003,0.059000000000000004,2021,0,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,0.1363636363636362
193,120170030260001,85,1.0,0.0,0.0,0.4,0.033,2019,0,0.0,0.0,1.0,0.0,0.0
194,120170030260001,90,1.0,0.0,0.0,0.311,0.011000000000000001,2018,0,0.0,0.0,1.0,0.0,0.0
195,120170030260001,107,1.0,0.0,0.0,0.20600000000000002,0.0,2017,0,0.0,0.0,1.0,0.0,0.0
196,120170040260001,190,0.953,0.0,0.0,0.479,0.069,2021,0,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,0.1363636363636362
197,120170040260001,173,0.9540000000000001,0.006,0.017,0.405,0.055999999999999994,2019,0,0.0,0.0,1.0,0.0,0.0
198,120170040260001,191,0.932,0.0,0.0,0.35600000000000004,0.026000000000000002,2018,0,0.0,0.0,1.0,0.0,0.0
199,120170040260001,179,0.9329999999999999,0.011000000000000001,0.022000000000000002,0.35200000000000004,0.017,2017,0,0.0,0.0,1.0,0.0,0.0
200,120400010260001,415,0.978,0.0,0.0,0.35200000000000004,0.027000000000000003,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
201,120400010260001,453,0.976,0.0,0.013000000000000001,0.366,0.027000000000000003,2019,0,0.0,0.0,1.0,0.0,0.0
202,120400010260001,456,0.978,0.0,0.0,0.342,0.004,2018,0,0.0,0.0,1.0,0.0,0.0
203,120400010260001,462,0.972,0.004,0.011000000000000001,0.33299999999999996,0.002,2017,0,0.0,0.0,1.0,0.0,0.0
204,120510100260001,394,0.9620000000000001,0.0,0.0,0.508,0.035,2021,0,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,0.1363636363636362
205,120510100260001,409,0.9540000000000001,0.0,0.012,0.5670000000000001,0.046,2019,0,0.0,0.0,1.0,0.0,0.0
206,120510100260001,404,0.958,0.0,0.0,0.557,0.026000000000000002,2018,0,0.0,0.0,1.0,0.0,0.0
207,120510100260001,428,0.953,0.002,0.013999999999999999,0.5329999999999999,0.026000000000000002,2017,0,0.0,0.0,1.0,0.0,0.0
208,120510200260008,322,0.925,0.0,0.04,0.578,0.061,2021,0,0.0909090909090909,0.1818181818181818,0.6363636363636364,0.0909090909090909,0.2727272727272728
209,120510200260008,319,0.94,0.003,0.025,0.48,0.065,2019,0,0.0,0.0,1.0,0.0,0.0
210,120510200260008,300,0.94,0.0,0.0,0.5429999999999999,0.043,2018,0,0.0,0.0,1.0,0.0,0.0
