,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
618,331300010265,2019,0.0,31,0.0,0.0,0.0,105,91.4286,0.9524,72.381,21.9048,1.9048
619,331300011350,2019,0.0,32,0.0,0.0,0.0,109,88.0734,0.9174,77.9817,20.1835,0.9174
620,331300011412,2019,0.0,52,0.0,0.0,0.0,204,90.1961,1.4706,67.1569,29.902,0.4902
621,331300011419,2019,0.0,75,0.0,0.0,0.0,236,85.1695,4.2373,67.3729,16.5254,8.0508
622,331300011430,2019,0.0,100,0.0,0.0,0.0,329,63.5258,20.0608,4.2553,4.2553,67.7812
623,331300011483,2019,0.0,66,0.0,0.0,0.0,215,71.1628,3.2558,65.1163,27.907,2.7907
624,331300011527,2019,0.0,61,0.0,0.0,0.0,189,81.4815,12.6984,61.3757,15.3439,9.5238
625,331300011553,2019,0.0,48,0.0,0.0,0.0,21,95.2381,0.0,95.2381,4.7619,0.0
626,331300011595,2019,0.0,92,0.0,0.0,0.0,66,93.9394,7.5758,71.2121,12.1212,4.5455
627,331300011605,2019,0.0,55,0.0,0.0,0.0,294,79.932,1.0204,68.7075,24.4898,3.4014
628,331300011616,2019,0.0,33,0.0,0.0,0.0,33,84.8485,0.0,69.697,27.2727,0.0
629,331300011670,2019,0.0,77,0.0,0.0,0.0,390,76.4103,1.2821,80.2564,10.0,5.3846
630,331300011674,2019,0.0,46,0.0,0.0,0.0,147,76.1905,8.1633,61.9048,25.1701,2.7211
631,331300860901,2019,0.0,88,0.0,0.0,0.0,160,78.125,0.625,78.125,11.875,0.625
632,331300861056,2019,0.0,75,0.0,0.0,0.0,115,71.3043,0.8696,78.2609,18.2609,0.0
634,331400011071,2019,0.0,47,0.0,0.0,0.0,140,83.5714,2.8571,13.5714,82.1429,1.4286
635,331400011449,2019,0.0,100,0.0,0.0,0.0,46,39.1304,13.0435,15.2174,6.5217,45.6522
636,331400011454,2019,0.0,47,0.0,0.0,0.0,189,78.836,4.2328,20.6349,70.3704,3.7037
637,331400011474,2019,0.0,37,0.0,0.0,0.0,305,86.8852,1.9672,25.5738,69.8361,1.3115
638,331400011477,2019,0.0,40,0.0,0.0,0.0,139,88.4892,1.4388,28.777,67.6259,0.0
639,331400011478,2019,0.0,43,0.0,0.0,0.0,343,87.7551,2.0408,28.5714,62.9738,5.5394
640,331400011488,2019,0.0,63,0.0,0.0,0.0,200,81.0,0.5,43.5,54.0,0.5
641,331400011558,2019,0.0,69,0.0,0.0,0.0,165,85.4545,5.4545,23.0303,67.8788,0.6061
642,331400011561,2019,0.0,77,0.0,0.0,0.0,222,80.6306,9.4595,16.6667,67.5676,3.6036
643,331400011586,2019,0.0,0,0.0,0.0,0.0,2,50.0,50.0,0.0,50.0,0.0
644,331400011610,2019,0.0,37,0.0,0.0,0.0,131,87.7863,2.2901,44.2748,48.855,1.5267
645,331400011614,2019,0.0,65,0.0,0.0,0.0,146,82.1918,5.4795,39.726,43.8356,4.7945
647,331400860945,2019,0.0,48,0.0,0.0,0.0,147,82.3129,4.0816,13.6054,77.551,2.7211
648,331500011423,2019,0.0,44,0.0,0.0,0.0,50,84.0,2.0,66.0,32.0,0.0
649,331500011429,2019,0.0,77,0.0,0.0,0.0,119,83.1933,9.2437,54.6218,31.0924,2.521
650,331500011462,2019,0.0,29,0.0,0.0,0.0,174,72.9885,2.8736,59.1954,31.6092,2.2989
651,331500011463,2019,0.0,34,0.0,0.0,0.0,128,87.5,5.4688,46.0938,41.4062,5.4688
652,331500011464,2019,0.0,59,0.0,0.0,0.0,223,66.8161,14.7982,35.8744,41.704,3.5874
653,331500011497,2019,0.0,60,0.0,0.0,0.0,193,48.7047,35.2332,29.5337,21.2435,6.7358
654,331500011519,2019,0.0,30,0.0,0.0,0.0,232,91.3793,3.4483,58.6207,29.7414,4.7414
655,331500011529,2019,0.0,50,0.0,0.0,0.0,56,80.3571,5.3571,8.9286,82.1429,1.7857
656,331500011592,2019,0.0,37,0.0,0.0,0.0,105,86.6667,26.6667,38.0952,7.619,23.8095
657,331500011656,2019,0.0,63,0.0,0.0,0.0,282,73.4043,6.0284,60.9929,24.4681,2.4823
658,331500011667,2019,0.0,45,0.0,0.0,0.0,460,85.4348,6.7391,6.7391,73.913,11.5217
659,331500011684,2019,0.0,97,0.0,0.0,0.0,91,35.1648,46.1538,10.989,17.5824,9.8901
660,331500011698,2019,0.0,33,0.0,0.0,0.0,40,90.0,2.5,20.0,70.0,2.5
661,331500860953,2019,0.0,72,0.0,0.0,0.0,47,82.9787,2.1277,44.6809,51.0638,0.0
663,331600011455,2019,0.0,30,0.0,0.0,0.0,246,84.1463,2.439,80.8943,12.1951,1.2195
664,331600011498,2019,0.0,52,0.0,0.0,0.0,187,83.4225,1.0695,60.9626,30.4813,4.2781
665,331600011669,2019,0.0,41,0.0,0.0,0.0,63,88.8889,3.1746,71.4286,22.2222,1.5873
666,331600011688,2019,0.0,20,0.0,0.0,0.0,75,94.6667,4.0,66.6667,21.3333,6.6667
