,schoolcode,district,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
185,72801148,72801,2018,0.0,0,0.0,0.0,0.0,121,56.1983,62.8099,23.9669,4.9587,0.0
186,72901101,72901,2018,0.0,0,0.0,0.0,0.0,8,75.0,50.0,0.0,50.0,0.0
187,72908001,72908,2018,0.0,0,0.0,0.0,0.0,65,18.4615,78.4615,0.0,16.9231,0.0
188,72909001,72909,2018,0.0,0,0.0,0.0,0.0,77,46.7532,53.2468,0.0,45.4545,0.0
189,74904001,74904,2018,0.0,0,0.0,0.0,0.0,95,46.3158,91.5789,0.0,4.2105,0.0
190,74907001,74907,2018,0.0,0,0.0,0.0,0.0,218,54.1284,68.3486,10.0917,15.5963,0.0
191,74911001,74911,2018,0.0,0,0.0,0.0,0.0,101,34.6535,83.1683,1.9802,5.9406,1.9802
192,74917001,74917,2018,0.0,0,0.0,0.0,0.0,137,36.4964,83.2117,2.9197,10.9489,0.0
193,75901001,75901,2018,0.0,0,0.0,0.0,0.0,151,61.5894,36.4238,2.649,58.2781,0.0
194,75906001,75906,2018,0.0,0,0.0,0.0,0.0,92,23.913,82.6087,2.1739,15.2174,0.0
195,75908001,75908,2018,0.0,0,0.0,0.0,0.0,76,30.2632,81.5789,1.3158,11.8421,0.0
196,76903001,76903,2018,0.0,0,0.0,0.0,0.0,91,51.6484,68.1319,2.1978,29.6703,0.0
197,78901001,78901,2018,0.0,0,0.0,0.0,0.0,69,65.2174,56.5217,4.3478,37.6812,1.4493
198,79901004,79901,2018,0.0,0,0.0,0.0,0.0,148,62.1622,22.2973,26.3514,47.973,1.3514
199,79901008,79901,2018,0.0,0,0.0,0.0,0.0,9,88.8889,0.0,33.3333,66.6667,0.0
200,79907010,79907,2018,0.0,0,0.0,0.0,0.0,48,75.0,10.4167,66.6667,16.6667,2.0833
201,79907038,79907,2018,0.0,0,0.0,0.0,0.0,376,69.1489,6.6489,52.1277,34.3085,4.7872
202,81905002,81905,2018,0.0,0,0.0,0.0,0.0,160,50.0,75.625,9.375,13.125,1.25
203,83902001,83902,2018,0.0,0,0.0,0.0,0.0,37,43.2432,40.5405,0.0,59.4595,0.0
204,83903002,83903,2018,0.0,0,0.0,0.0,0.0,58,41.3793,43.1034,0.0,55.1724,0.0
205,84802001,84802,2018,0.0,0,0.0,0.0,0.0,91,49.4505,40.6593,8.7912,47.2527,1.0989
206,84903001,84903,2018,0.0,0,0.0,0.0,0.0,70,95.7143,84.2857,0.0,10.0,1.4286
207,84906014,84906,2018,0.0,0,0.0,0.0,0.0,9,66.6667,11.1111,66.6667,22.2222,0.0
208,84910004,84910,2018,0.0,0,0.0,0.0,0.0,279,31.8996,62.724,4.6595,25.8065,1.4337
209,84910008,84910,2018,0.0,0,0.0,0.0,0.0,285,37.8947,42.4561,21.4035,29.4737,2.4561
210,84910010,84910,2018,0.0,0,0.0,0.0,0.0,454,36.1233,33.2599,5.5066,25.5507,29.7357
211,86901002,86901,2018,0.0,0,0.0,0.0,0.0,54,42.5926,46.2963,3.7037,46.2963,1.8519
212,86902001,86902,2018,0.0,0,0.0,0.0,0.0,210,30.9524,83.3333,0.4762,13.8095,0.4762
213,87901001,87901,2018,0.0,0,0.0,0.0,0.0,96,40.625,52.0833,0.0,47.9167,0.0
214,88902001,88902,2018,0.0,0,0.0,0.0,0.0,435,41.8391,49.4253,5.0575,43.4483,0.0
215,89903001,89903,2018,0.0,0,0.0,0.0,0.0,321,77.8816,22.1184,1.8692,75.7009,0.0
216,89903004,89903,2018,0.0,0,0.0,0.0,0.0,5,80.0,0.0,0.0,100.0,0.0
217,90902001,90902,2018,0.0,0,0.0,0.0,0.0,59,57.6271,77.9661,0.0,15.2542,1.6949
218,90903001,90903,2018,0.0,0,0.0,0.0,0.0,70,40.0,78.5714,0.0,20.0,0.0
219,91901001,91901,2018,0.0,0,0.0,0.0,0.0,268,28.3582,82.0896,0.3731,10.8209,0.0
220,91902001,91902,2018,0.0,0,0.0,0.0,0.0,191,39.7906,78.534,0.5236,19.8953,0.0
221,91903002,91903,2018,0.0,0,0.0,0.0,0.0,58,74.1379,63.7931,5.1724,20.6897,1.7241
222,91907101,91907,2018,0.0,0,0.0,0.0,0.0,150,42.6667,72.0,0.0,20.6667,2.0
223,91918001,91918,2018,0.0,0,0.0,0.0,0.0,222,40.0901,85.1351,1.3514,7.2072,0.4505
224,92907001,92907,2018,0.0,0,0.0,0.0,0.0,560,32.1429,69.8214,10.7143,13.5714,1.6071
225,92908001,92908,2018,0.0,0,0.0,0.0,0.0,424,33.0189,82.783,4.0094,7.3113,0.2358
226,93901001,93901,2018,0.0,0,0.0,0.0,0.0,274,40.146,75.5474,9.4891,11.6788,0.0
227,93903001,93903,2018,0.0,0,0.0,0.0,0.0,147,34.6939,80.2721,4.0816,15.6463,0.0
228,93904002,93904,2018,0.0,0,0.0,0.0,0.0,820,74.878,25.122,23.4146,49.7561,0.3659
229,93905001,93905,2018,0.0,0,0.0,0.0,0.0,63,53.9683,74.6032,12.6984,11.1111,0.0
230,94904001,94904,2018,0.0,0,0.0,0.0,0.0,457,41.3567,58.4245,2.1882,36.7615,0.4376
