,schoolcode,totalenroll,whiteenroll,blackenroll,hispanicenroll,lowincomeenroll,attendance,mobility,dropout,graduation,classsize,retention,year,School Mode Score,Charter,DistrictName,SchoolName,SchoolType,EnrollmentTotal
89,130412010170001,1151.0,75.3,13.0,3.4,54.0,93.0,11.1,1.1,85.1,18.0,80.4,2018,0.4545454545454545,No,Mt Vernon Twp HSD 201,Mount Vernon High School,Regular school,1096
90,130412090270001,190.0,94.2,0.0,0.0,41.1,91.1,10.6,4.2,81.3,21.7,0.0,2021,0.3636363636363636,No,Woodlawn Unit School District 209,Woodlawn High School,Regular school,190
91,130412090270001,175.0,96.0,0.6,1.7,33.1,96.8,11.3,1.7,95.3,20.3,60.5,2019,0.3636363636363636,No,Woodlawn Unit School District 209,Woodlawn High School,Regular school,190
92,130412090270001,163.0,95.7,0.0,0.0,25.2,96.4,9.0,0.6,91.7,14.0,89.7,2018,0.3636363636363636,No,Woodlawn Unit School District 209,Woodlawn High School,Regular school,190
93,130413180270001,125.0,96.8,0.0,0.0,36.8,88.5,13.7,3.1,94.1,15.1,94.1,2021,0.0,No,Bluford Unit School District 318,Webber High School,Regular school,125
94,130413180270001,122.0,97.5,1.6,0.8,35.2,94.1,8.1,5.9,84.8,17.4,80.0,2019,0.0,No,Bluford Unit School District 318,Webber High School,Regular school,125
95,130413180270001,121.0,95.9,0.0,0.0,30.6,94.1,7.9,3.3,84.6,18.0,76.5,2018,0.0,No,Bluford Unit School District 318,Webber High School,Regular school,125
96,130581000260002,79.0,100.0,0.0,0.0,41.8,95.3,11.3,5.1,95.0,12.8,92.3,2021,0.2727272727272727,No,Patoka CUSD 100,Patoka Sr High School,Regular school,75
97,130581000260002,64.0,100.0,0.0,0.0,50.0,91.8,16.1,7.1,75.0,11.9,100.0,2019,0.2727272727272727,No,Patoka CUSD 100,Patoka Sr High School,Regular school,75
98,130581000260002,62.0,100.0,0.0,0.0,51.6,93.0,6.3,0.0,71.4,7.0,92.9,2018,0.2727272727272727,No,Patoka CUSD 100,Patoka Sr High School,Regular school,75
99,130582000170001,854.0,75.1,7.7,6.3,62.8,90.2,14.2,7.3,73.9,21.4,91.2,2021,0.4545454545454545,No,Centralia HSD 200,Centralia High School,Regular school,854
