,schoolcode,schoolname,districtname,mathpass,totaltested,percenttotaltested,male,female,white,black,hispanic,asian,disability,lowincome,year,schoolmode,SchoolType,EnrollmentTotal
68,120510200260008,Lawrenceville High School,Lawrence County CUD 20,0.10400000000000001,67.0,1.0,0.5074626865671642,0.4925373134328358,0.9850746268656716,0.0,0.0,0.0,0.0,0.4626865671641791,2018,0.1818181818181818,Regular school,322
69,120800010260001,Richland County High School,Richland County CUSD 1,0.177,164.0,0.9590000000000001,0.5182926829268293,0.4817073170731707,0.9146341463414634,0.0,0.0,0.0,0.1280487804878048,0.274390243902439,2021,0.3181818181818182,Regular school,722
70,120800010260001,Richland County High School,Richland County CUSD 1,0.17800000000000002,157.0,0.963,0.5222929936305732,0.4777070063694267,0.929936305732484,0.0,0.0,0.0,0.1337579617834395,0.4267515923566879,2019,0.3181818181818182,Regular school,722
71,120800010260001,Richland County High School,Richland County CUSD 1,0.237,173.0,0.9890000000000001,0.4739884393063583,0.5260115606936416,0.9190751445086706,0.0,0.0,0.0,0.0982658959537572,0.4161849710982659,2018,0.3181818181818182,Regular school,722
72,130140010260001,Carlyle High School,Carlyle CUSD 1,0.185,65.0,0.915,0.5384615384615384,0.4615384615384615,0.8769230769230769,0.0,0.0,0.0,0.1538461538461538,0.3384615384615385,2021,0.0454545454545454,Regular school,300
73,130140010260001,Carlyle High School,Carlyle CUSD 1,0.262,65.0,0.956,0.5692307692307692,0.4307692307692308,0.8923076923076924,0.0,0.0,0.0,0.2,0.4461538461538462,2019,0.0454545454545454,Regular school,300
74,130140010260001,Carlyle High School,Carlyle CUSD 1,0.337,86.0,1.0,0.5697674418604651,0.4302325581395348,0.9186046511627908,0.0,0.0,0.0,0.0,0.2906976744186046,2018,0.0454545454545454,Regular school,300
75,130140030260006,Wesclin Sr High School,Wesclin CUSD 3,0.326,89.0,0.9470000000000001,0.5056179775280899,0.4943820224719101,0.9101123595505618,0.0,0.0,0.0,0.0,0.1797752808988764,2021,0.0,Regular school,385
76,130140030260006,Wesclin Sr High School,Wesclin CUSD 3,0.425,87.0,1.0,0.4137931034482758,0.5862068965517241,0.9080459770114944,0.0,0.0,0.0,0.1724137931034483,0.2183908045977011,2019,0.0,Regular school,385
77,130140030260006,Wesclin Sr High School,Wesclin CUSD 3,0.47600000000000003,103.0,1.0,0.5048543689320388,0.4951456310679611,0.8640776699029126,0.0,0.0,0.0,0.1941747572815534,0.2718446601941747,2018,0.0,Regular school,385
78,130140710160001,Central Comm High School,Central CHSD 71,0.35,160.0,1.0,0.5625,0.4375,0.925,0.0,0.06875,0.0,0.1,0.175,2021,0.0,Regular school,633
79,130140710160001,Central Comm High School,Central CHSD 71,0.406,143.0,0.993,0.4615384615384615,0.5384615384615384,0.9790209790209792,0.0,0.0,0.0,0.1818181818181818,0.1958041958041958,2019,0.0,Regular school,633
80,130140710160001,Central Comm High School,Central CHSD 71,0.474,135.0,0.993,0.562962962962963,0.437037037037037,0.9703703703703704,0.0,0.0,0.0,0.0888888888888888,0.2,2018,0.0,Regular school,633
81,130410010260001,Waltonville High School,Waltonville CUSD 1,0.212,33.0,0.971,0.4545454545454545,0.5454545454545454,0.9090909090909092,0.0,0.0,0.0,0.0,0.3939393939393939,2021,0.3181818181818182,Regular school,102
82,130410010260001,Waltonville High School,Waltonville CUSD 1,0.129,31.0,0.9690000000000001,0.6129032258064516,0.3870967741935484,1.0,0.0,0.0,0.0,0.0,0.0,2019,0.3181818181818182,Regular school,102
83,130410010260001,Waltonville High School,Waltonville CUSD 1,0.0,22.0,1.0,0.4545454545454545,0.5454545454545454,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,2018,0.3181818181818182,Regular school,102
84,130412010170001,Mount Vernon High School,Mt Vernon Twp HSD 201,0.131,244.0,0.847,0.4918032786885246,0.5081967213114754,0.7295081967213115,0.0983606557377049,0.0696721311475409,0.0,0.2131147540983606,0.4795081967213114,2021,0.4545454545454545,Regular school,1096
85,130412010170001,Mount Vernon High School,Mt Vernon Twp HSD 201,0.192,265.0,0.877,0.5283018867924528,0.4716981132075472,0.7132075471698113,0.1622641509433962,0.0377358490566037,0.0,0.1584905660377358,0.5471698113207547,2019,0.4545454545454545,Regular school,1096
86,130412010170001,Mount Vernon High School,Mt Vernon Twp HSD 201,0.142,254.0,0.9690000000000001,0.5236220472440944,0.4763779527559055,0.7716535433070866,0.1377952755905512,0.0,0.0,0.1653543307086614,0.5551181102362205,2018,0.4545454545454545,Regular school,1096
87,130412090270001,Woodlawn High School,Woodlawn Unit School District ,0.135,52.0,0.929,0.4038461538461538,0.5961538461538461,0.9615384615384616,0.0,0.0,0.0,0.0,0.3461538461538461,2021,0.3636363636363636,Regular school,190
88,130412090270001,Woodlawn High School,Woodlawn Unit School District 209,0.35100000000000003,37.0,0.9740000000000001,0.5405405405405406,0.4594594594594595,0.945945945945946,0.0,0.0,0.0,0.0,0.0,2019,0.3636363636363636,Regular school,190
89,130412090270001,Woodlawn High School,Woodlawn Unit School District 209,0.15,40.0,1.0,0.5,0.5,0.95,0.0,0.0,0.0,0.0,0.0,2018,0.3636363636363636,Regular school,190
90,130413180270001,Webber High School,Bluford Unit School District 3,0.067,30.0,0.968,0.5333333333333333,0.4666666666666667,1.0,0.0,0.0,0.0,0.0,0.4333333333333333,2021,0.0,Regular school,125
