,RCDTS,City,County,District Size,Total Number of School Days,Student Mobility Rate,High School Dropout Rate - Total,High School Dropout Rate - Male,High School Dropout Rate - Female,High School Dropout Rate - Low Income,High School 4-Year Graduation Rate - Total,High School 4-Year Graduation Rate - Male,High School 4-Year Graduation Rate - Female,High School 4-Year Graduation Rate - White,High School 4-Year Graduation Rate - Low Income,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Chronic Absenteeism - Low Income,Year
57,050162070170001,Park Ridge,Cook,LARGE,180.0,4.6,0.8,0.9,0.7,0.8,92.8,89.9,96.2,92.6,92.1,21.3,90.5,27.1,33.7,2021
58,050162070170003,Park Ridge,Cook,LARGE,180.0,2.0,0.9,0.7,1.1,1.7,97.5,97.8,97.2,97.9,92.6,24.7,92.4,15.8,40.3,2021
59,050162070170004,Des Plaines,Cook,LARGE,180.0,3.4,1.0,1.1,0.9,1.4,91.1,86.5,95.4,92.4,85.0,22.3,93.1,32.3,46.0,2021
60,050162110170001,Hoffman Estates,Cook,LARGE,180.0,2.8,0.7,0.6,0.7,0.8,96.8,94.6,98.7,98.1,92.1,23.9,96.2,5.7,11.0,2021
61,050162110170002,Palatine,Cook,LARGE,180.0,2.4,0.9,1.3,0.5,2.3,95.6,94.9,96.4,96.7,84.3,23.7,95.9,3.8,14.0,2021
62,050162110170003,Palatine,Cook,LARGE,180.0,4.2,1.7,2.0,1.3,2.3,90.6,86.7,94.6,93.4,88.9,20.8,97.4,12.5,18.8,2021
63,050162110170004,Schaumburg,Cook,LARGE,180.0,3.9,0.6,0.8,0.4,1.4,96.0,95.6,96.6,97.4,94.0,22.1,97.4,8.3,15.3,2021
64,050162110170006,Hoffman Estates,Cook,LARGE,180.0,3.7,0.7,0.6,0.8,0.7,95.7,94.0,98.1,96.5,93.8,21.2,97.4,8.7,13.0,2021
65,050162140170002,Elk Grove Village,Cook,LARGE,182.0,9.4,0.6,0.7,0.6,1.1,93.4,90.7,96.6,95.2,89.3,23.3,96.1,16.2,23.0,2021
66,050162140170004,Arlington Heights,Cook,LARGE,182.0,3.0,0.6,0.7,0.5,2.1,94.9,96.4,93.4,95.8,85.9,24.8,97.2,4.6,12.7,2021
67,050162140170005,Mt Prospect,Cook,LARGE,182.0,4.0,0.5,0.7,0.3,1.8,96.2,95.5,97.0,97.3,91.0,25.4,94.1,4.7,11.9,2021
68,050162140170006,Wheeling,Cook,LARGE,182.0,5.8,1.4,2.2,0.5,1.9,89.2,86.3,92.8,95.1,84.1,23.8,92.7,19.1,24.9,2021
69,050162140170007,Rolling Meadows,Cook,LARGE,182.0,6.5,1.1,1.4,0.7,1.1,91.6,88.5,94.8,95.8,85.8,24.2,93.9,16.8,26.2,2021
70,050162140170008,Buffalo Grove,Cook,LARGE,182.0,3.3,1.0,1.2,0.7,1.8,93.4,90.9,96.0,94.4,92.6,23.6,98.4,14.4,25.0,2021
71,050162190170002,Skokie,Cook,LARGE,176.0,3.1,1.2,1.3,1.0,1.6,91.0,88.7,93.5,91.5,87.2,20.0,94.8,20.1,25.9,2021
72,050162190170003,Skokie,Cook,LARGE,176.0,1.9,0.8,0.9,0.8,1.4,93.4,90.6,96.6,92.3,90.1,21.5,96.4,26.0,31.6,2021
73,050162250170001,Northbrook,Cook,LARGE,178.0,8.7,0.7,0.7,0.6,3.4,96.3,95.6,97.1,96.1,93.8,23.1,94.9,4.4,9.3,2021
74,050162250170002,Glenview,Cook,LARGE,178.0,5.9,0.7,1.0,0.5,2.1,96.2,94.8,97.7,97.3,91.7,22.7,94.9,10.1,27.1,2021
75,060162000130001,Oak Park,Cook,MEDIUM,178.0,4.9,1.6,1.6,1.5,2.6,94.6,92.7,96.4,96.3,88.8,23.4,92.6,20.5,42.6,2021
76,060162010170001,Cicero,Cook,LARGE,176.0,7.7,4.9,6.3,3.6,4.4,73.4,67.9,79.6,80.0,74.5,20.5,91.2,26.5,26.0,2021
77,060162010170002,Berwyn,Cook,LARGE,176.0,4.5,3.6,4.1,3.1,3.5,72.4,66.0,79.9,71.4,71.8,22.5,90.5,18.1,19.1,2021
78,060162010170003,Cicero,Cook,LARGE,176.0,2.7,1.5,1.6,1.4,1.6,,,,,,20.1,82.9,19.3,19.2,2021
79,060162040170001,La Grange,Cook,LARGE,178.0,2.0,0.9,0.8,1.0,3.1,95.2,94.4,96.1,96.7,84.5,22.9,96.8,6.4,17.3,2021
80,060162080170001,Riverside,Cook,MEDIUM,176.0,2.9,0.2,0.2,0.3,0.7,95.5,92.7,98.1,96.3,95.3,24.2,94.0,7.7,17.8,2021
81,060162090170001,Maywood,Cook,LARGE,176.0,8.7,3.4,4.7,1.9,5.6,71.0,65.3,78.4,,72.1,16.5,82.9,35.8,37.2,2021
82,060162090170002,Hillside,Cook,LARGE,176.0,8.9,2.8,3.7,1.9,5.2,82.3,80.6,84.0,,81.3,18.3,77.5,26.5,29.1,2021
83,060162090170003,Forest Park,Cook,LARGE,176.0,1.4,0.1,0.3,0.0,0.5,100.0,100.0,100.0,,100.0,23.9,79.7,4.7,5.3,2021
84,060162120160001,Franklin Park,Cook,MEDIUM,176.0,12.8,1.7,2.2,1.2,2.3,84.2,80.3,88.2,85.5,78.2,13.6,91.2,23.5,30.1,2021
85,060162120160002,Northlake,Cook,MEDIUM,176.0,14.6,2.3,2.8,1.7,3.1,85.2,83.3,87.4,89.7,82.7,14.1,93.6,23.4,29.4,2021
86,060162340160001,Norridge,Cook,MEDIUM,176.0,6.3,0.4,0.7,0.0,0.4,95.9,93.9,97.6,94.7,94.4,22.1,92.5,11.6,20.6,2021
87,060164010260001,Elmwood Park,Cook,LARGE,178.0,4.3,2.4,2.6,2.3,3.2,81.0,80.0,82.0,83.0,75.0,24.1,87.6,29.5,36.5,2021
88,070162050170001,Harvey,Cook,LARGE,177.0,20.2,10.6,12.5,8.6,10.1,73.9,64.8,82.4,,74.4,18.9,89.1,21.8,22.5,2021
89,070162050170002,Dolton,Cook,LARGE,177.0,11.0,5.6,8.4,2.6,5.7,73.1,65.4,81.1,,74.4,19.9,89.6,18.3,20.3,2021
90,070162050170003,South Holland,Cook,LARGE,177.0,9.0,2.1,2.2,2.0,2.2,84.4,81.0,88.5,58.3,85.4,23.4,93.9,10.8,12.3,2021
91,070162060170001,Chicago Heights,Cook,MEDIUM,177.0,8.7,1.7,2.3,0.9,1.9,88.1,84.4,91.9,90.0,88.3,24.2,86.3,45.0,47.4,2021
92,070162060170002,Chicago Heights,Cook,MEDIUM,177.0,8.7,4.5,6.2,2.7,5.9,80.4,79.9,80.8,80.4,79.6,22.6,90.9,51.8,55.7,2021
93,070162100170001,Lemont,Cook,MEDIUM,176.0,2.2,0.9,1.0,0.7,2.7,96.4,96.5,96.4,97.3,93.5,23.7,97.0,8.6,17.5,2021
94,070162150170001,Calumet City,Cook,MEDIUM,178.0,4.5,5.2,7.4,2.9,4.9,81.7,76.2,87.0,,81.6,21.6,92.2,20.5,19.7,2021
95,070162150170002,Lansing,Cook,MEDIUM,178.0,5.8,4.0,4.0,3.9,5.2,86.3,84.0,89.2,79.7,83.2,24.0,95.7,9.1,10.3,2021
96,070162170160001,Summit,Cook,MEDIUM,178.0,5.2,1.7,2.0,1.5,1.8,88.6,85.7,91.7,88.7,87.1,21.9,96.7,20.9,23.8,2021
97,070162180160001,Blue Island,Cook,LARGE,177.0,5.5,2.8,3.6,2.0,2.9,80.8,78.3,83.5,73.9,80.2,24.2,92.2,31.7,34.7,2021
98,070162180160004,Oak Lawn,Cook,LARGE,177.0,3.8,2.6,2.9,2.2,3.5,84.5,79.7,89.9,87.0,82.4,23.0,92.6,18.5,23.2,2021
99,070162180160007,Palos Heights,Cook,LARGE,177.0,3.5,2.3,2.5,2.2,3.0,88.1,83.3,93.5,91.0,85.8,25.1,92.1,16.2,21.3,2021
100,070162200170001,Burbank,Cook,MEDIUM,176.0,3.7,0.9,1.3,0.4,0.5,87.4,83.5,91.7,85.6,83.1,25.3,93.4,17.2,22.3,2021
101,070162270170002,Olympia Fields,Cook,MEDIUM,179.0,7.5,1.5,1.6,1.5,1.2,83.4,79.3,87.6,81.8,84.5,17.5,61.4,53.7,53.5,2021
102,070162280160001,Midlothian,Cook,LARGE,177.0,5.0,2.1,2.7,1.4,1.5,88.2,83.0,93.9,87.0,87.1,22.8,94.1,28.2,38.0,2021
103,070162280160002,Tinley Park,Cook,LARGE,177.0,4.2,2.3,3.1,1.6,3.5,89.3,90.3,88.4,91.5,87.3,23.3,95.6,23.2,34.9,2021
104,070162280160003,Country Club Hills,Cook,LARGE,177.0,12.9,5.1,6.2,3.9,6.8,66.9,60.7,72.9,,65.9,23.5,91.5,49.5,54.5,2021
105,070162280160004,Oak Forest,Cook,LARGE,177.0,7.7,0.8,1.2,0.3,1.3,94.1,91.6,96.8,97.7,94.4,24.5,94.5,18.3,32.4,2021
106,070162290160001,Oak Lawn,Cook,MEDIUM,176.0,4.4,1.5,1.9,1.1,1.8,89.6,87.5,92.1,92.1,87.8,24.2,95.0,2.8,3.7,2021
107,070162300130001,Orland Park,Cook,LARGE,179.0,2.3,0.6,0.8,0.4,1.2,94.5,93.0,95.8,95.1,92.5,23.0,95.6,7.3,15.7,2021
108,070162300130002,Palos Hills,Cook,LARGE,179.0,3.2,0.9,1.3,0.4,1.0,93.6,90.4,97.1,94.5,92.7,22.7,96.5,8.6,15.2,2021
109,070162300130003,Orland Hills,Cook,LARGE,179.0,2.8,1.2,1.3,1.1,2.2,94.9,94.5,95.5,94.5,93.2,22.4,96.9,5.3,11.0,2021
110,070162310160001,Evergreen Park,Cook,MEDIUM,176.0,2.2,0.9,0.9,1.0,2.5,94.4,94.3,94.6,92.5,90.3,22.3,96.4,14.2,24.3,2021
111,070162330160001,Flossmoor,Cook,MEDIUM,178.0,2.7,1.6,1.9,1.3,7.5,96.4,95.1,97.8,97.2,89.1,23.2,92.3,22.0,27.7,2021
112,080083080260001,Lanark,Carroll,MEDIUM,177.0,7.3,3.0,5.0,1.0,4.2,88.5,84.6,92.3,87.2,75.0,12.7,85.9,13.3,26.9,2021
113,080083140260001,Savanna,Carroll,MEDIUM,176.0,13.7,3.2,4.9,1.4,4.3,91.7,87.5,95.5,91.0,88.2,15.9,77.6,32.1,41.8,2021
114,080083990260002,Milledgeville,Carroll,MEDIUM,176.0,6.0,2.3,2.6,1.9,5.3,91.9,85.7,100.0,91.9,81.3,11.7,86.8,16.0,22.5,2021
115,080431190220003,East Dubuque,Jo Daviess,MEDIUM,176.0,10.7,2.6,1.8,3.8,5.6,75.5,74.2,77.3,80.9,38.5,15.2,85.0,13.5,27.0,2021
116,080431200220002,Galena,Jo Daviess,MEDIUM,177.0,9.0,3.4,3.3,3.4,11.8,86.2,86.2,86.2,89.4,71.4,17.0,96.2,9.6,26.5,2021
117,080432050260001,Warren,Jo Daviess,SMALL,176.0,6.3,2.0,3.5,0.0,3.3,77.3,80.0,75.0,76.2,,11.7,82.9,14.3,27.1,2021
118,080432060260003,Stockton,Jo Daviess,MEDIUM,176.0,8.0,5.7,4.1,7.9,6.3,77.8,80.0,75.0,80.5,58.8,12.9,89.3,5.8,12.5,2021
