,schoolcode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
125,131701060002,2019,0.0,93,0.0,0.0,0.0,163,33.74233128834356,82.82208588957054,2.4539877300613497,11.042944785276074,2.4539877300613497
126,131801040001,2019,0.0,89,0.0,0.0,0.0,70,22.857142857142858,88.57142857142857,2.857142857142857,7.142857142857142,1.4285714285714286
127,132101060011,2019,0.0,93,0.0,0.0,0.0,468,30.982905982905983,64.1025641025641,8.76068376068376,20.726495726495727,5.555555555555555
128,132101060015,2019,0.0,93,0.0,0.0,0.0,542,19.74169741697417,76.93726937269373,5.719557195571956,12.177121771217712,4.612546125461255
129,132101060016,2019,0.0,70,0.0,0.0,0.0,27,55.55555555555556,66.66666666666666,11.11111111111111,22.22222222222222,0.0
130,132201040005,2019,0.0,96,0.0,0.0,0.0,72,27.77777777777778,83.33333333333334,2.7777777777777777,9.722222222222223,2.7777777777777777
131,140101060006,2019,0.0,97,0.0,0.0,0.0,135,31.851851851851855,95.55555555555556,1.4814814814814816,0.7407407407407408,1.4814814814814816
132,140201060002,2019,0.0,96,0.0,0.0,0.0,220,37.72727272727273,69.54545454545455,15.909090909090908,4.545454545454546,6.8181818181818175
133,140203060010,2019,0.0,95,0.0,0.0,0.0,336,19.047619047619047,77.97619047619048,5.059523809523809,2.083333333333333,11.30952380952381
134,140203060004,2019,0.0,94,0.0,0.0,0.0,236,17.372881355932204,77.96610169491525,6.779661016949152,5.932203389830509,6.779661016949152
135,140203060013,2019,0.0,95,0.0,0.0,0.0,263,16.34980988593156,72.24334600760456,2.6615969581749046,2.6615969581749046,17.490494296577946
136,140207060006,2019,0.0,90,0.0,0.0,0.0,288,51.736111111111114,62.84722222222222,21.180555555555554,6.944444444444445,5.208333333333334
137,140301030005,2019,0.0,99,0.0,0.0,0.0,160,14.374999999999998,95.0,0.625,2.5,0.625
138,140600010056,2019,0.0,96,0.0,0.0,0.0,106,43.39622641509434,38.67924528301887,30.18867924528302,8.49056603773585,17.92452830188679
139,140600010097,2019,0.0,75,0.0,0.0,0.0,113,71.68141592920354,16.8141592920354,62.83185840707964,14.15929203539823,2.6548672566371683
140,140600010098,2019,0.0,79,0.0,0.0,0.0,307,82.08469055374593,11.726384364820847,57.98045602605863,14.983713355048861,12.703583061889251
141,140600010101,2019,0.0,61,0.0,0.0,0.0,177,88.13559322033898,5.084745762711865,74.57627118644068,8.47457627118644,11.299435028248588
142,140600010104,2019,0.0,72,0.0,0.0,0.0,125,87.2,5.6000000000000005,76.8,16.0,1.6
